股票简称,股票代码,最新价,涨跌幅,PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
新洁能,605111,127.8,0.79,95.25,129.93,14.66,2.2277,16.44,109.84,电子元件
派克新材,605123,80.63,1.66,43.86,52.29,5.34,14.9842,7.31,-1579.27,金属制品
丽人丽妆,605136,37.85,-2.32,44.5,44.78,6.37,1.9786,3.23,103.11,商业百货
西上海,605151,19.88,-4.97,22.65,24.67,2.28,1.7582,2.08,12.13,汽车行业
华达新材,605158,11.45,0.09,14.89,16.37,2.24,0.3122,0.68,9.69,金属制品
聚合顺,605166,9.75,-0.61,19.33,26.56,2.5,0.8754,0.98,44.64,化工行业
三人行,605168,124.55,-2.25,23.11,23.92,4.96,0.2142,2.97,69.35,文化传媒
健麾信息,605186,33.75,-10,47.7,47.94,5.6,13.2857,15.45,70.69,医疗行业
葫芦娃,605199,30.91,-3.59,96.46,101.79,13.15,120.5618,10.21,697.62,医药制造
起帆电缆,605222,19.83,-1.05,16.17,19.36,2.72,0.6525,0.71,-4.98,输配电气
健之佳,605266,81.33,1.16,21.36,22.31,3.14,0.3705,1.22,16.51,医疗行业
帅丰电器,605336,27.75,0.25,18.31,20.11,2.25,1.5424,4.82,14.73,家电行业
巴比食品,605338,35.62,-1,50.21,50.34,5.36,3.0955,7.9,34.68,食品饮料
立昂微,605358,88.25,4.43,144.13,175.04,18.24,1.8534,21.37,175.43,电子元件
拱东医疗,605369,108.15,5.87,43.05,53.62,10.59,0.3674,12.24,39.82,医疗行业
博迁新材,605376,66.7,3.25,95.55,109.74,11.82,4.8897,26.32,114.78,金属制品
华旺科技,605377,15.18,-1.75,13.44,16.66,1.87,0.2298,2.2,16.72,造纸印刷
晨光新材,605399,18.01,-1.32,19.62,25.98,2.77,2.4469,3.8,21.59,化工行业
森林包装,605500,18.18,-0.27,13.98,16.5,1.71,0.4257,1.47,28.38,造纸印刷
华兴源创,688001,37.24,1.61,57.69,61.6,5.1,0.9527,9.13,47.94,专用设备
睿创微纳,688002,92.2,-2.97,66.18,70.23,13.45,0.3389,23.98,200.86,专用设备
天准科技,688003,29.58,-1.04,64.5,53.33,3.8,1.7658,5.8,133.99,专用设备
容百科技,688005,120.99,11,176.08,254.05,11.74,0.2401,11.93,133.54,材料行业
杭可科技,688006,86.25,1.47,92.5,93.38,13.18,2.8117,21.2,176.89,专用设备
澜起科技,688008,58.79,1.4,68.21,60.25,8,3.6015,40.86,77.68,电子元件
