股票简称,股票代码,最新价,涨跌幅,PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
安达维尔,300719,12.92,0.23,30.86,34.39,3.13,0.76,5.17,190.99,航天航空
海川智能,300720,14.31,0.07,34.89,38.06,5.1,0.4625,12.09,40.53,机械行业
新余国科,300722,44.91,0.51,138.69,159.48,16.44,4.9833,29.01,195.74,航天航空
一品红,300723,26.57,0.42,30.63,33.99,4.94,0.4108,4.14,22.46,医药制造
捷佳伟创,300724,110.86,-0.86,59.46,73.7,11.85,1.5125,8.15,97.72,专用设备
药石科技,300725,139.18,1.41,123.11,150.89,14.07,5.5966,24.44,73.86,医疗行业
宏达电子,300726,67.72,-0.4,44.16,56.01,11.85,0.5455,16.57,85.26,电子元件
润禾材料,300727,25.07,1.25,47.12,58.71,5.13,7.2632,3.75,60.51,化工行业
乐歌股份,300729,25.66,-3.21,19.71,21.34,4.52,0.069,1.96,21.41,机械行业
设研院,300732,10.34,-0.86,9.08,9.29,1.16,0.6042,1.46,11.74,工程建设
科顺股份,300737,34.84,1.54,21.57,24.86,4.86,0.1117,3.21,41,水泥建材
奥飞数据,300738,18.56,-1.07,58.16,45.23,5.34,1.0619,7.5,39.34,软件服务
明阳电路,300739,15.3,6.18,36.31,32.12,3.02,653.3291,3.15,23.03,电子元件
水羊股份,300740,21.23,-2.84,51.9,62.21,6.3,0.0819,2.17,38.94,化工行业
越博动力,300742,23.8,2.45,215.88,232.96,5.12,202.6464,4.79,-10.81,汽车行业
金力永磁,300748,27.56,1.59,61.38,77.86,9.07,0.9131,6.8,93.01,材料行业
宁德时代,300750,432.21,4.2,148.16,180.33,15.34,5.2671,16.65,38.36,汽车行业
迈为股份,300751,399.2,2.63,91.54,104.35,16.47,1.3233,16.41,80.14,专用设备
华致酒行,300755,46.9,0.17,41.92,52.38,6.51,2.3299,3.26,248.98,酿酒行业
金马游乐,300756,32.3,1.54,68.28,-,3.06,1.2713,6.37,26.56,旅游酒店
七彩化学,300758,22.5,0.49,29.1,30.96,4.26,0.3755,4.76,44.11,化工行业
康龙化成,300759,185.61,2.15,111.98,125.77,16.21,0.8425,26.03,80.93,医药制造
迈瑞医疗,300760,484.2,1.77,83.38,88.41,23.55,1.8896,26.68,68.76,医疗行业
上海瀚讯,300762,26.15,-2.75,56.39,61.28,7.4,0.9316,15.44,82.2,通讯行业
锦浪科技,300763,191,2.01,76.08,87.46,14.33,0.4173,11.5,82.58,专用设备
新诺威,300765,14.39,0.42,25.29,26.2,2.85,2.7431,5.96,26,食品饮料
震安科技,300767,102.1,1.13,87.54,91.48,12.91,1.1608,23.09,167.73,塑胶制品
迪普科技,300768,36.45,-0.36,51.48,52.76,7.4,4.9211,15.4,54.23,通讯行业
德方纳米,300769,209.16,11.08,1188.31,-,8.65,8.1422,14.48,-74.15,化工行业
新媒股份,300770,52.02,0.19,20.27,20.91,4.33,0.4466,9.6,19.82,文化传媒
运达股份,300772,17.01,-1.16,24.19,29.68,3.04,0.3186,0.41,-3.11,专用设备
拉卡拉,300773,28.93,-0.58,23.29,24.87,4.85,1.5003,3.8,17.4,软件服务
三角防务,300775,35.65,-1.68,73.11,86.42,8.83,10.5308,26.77,-375.4,航天航空
帝尔激光,300776,134.6,3.78,37.97,38.16,7.58,1.5383,12.43,63.71,专用设备
中简科技,300777,44.14,0.55,74.55,75.99,14.5,0.8871,42.23,68.23,材料行业
德恩精工,300780,14.31,0.28,22.64,21.36,1.97,0.366,4.38,13.96,机械行业
卓胜微,300782,414.51,1.82,97.83,128.88,22.55,0.7025,39.23,110.96,电子元件
三只松鼠,300783,49.9,-0.56,46.71,66.41,8.73,1.2264,1.99,36.44,食品饮料
值得买,300785,101.5,-2.59,55.09,57.51,5.33,1.5771,8.86,53.47,电子信息
国林科技,300786,22.17,0.82,23.49,23.68,2.24,1.9971,4.55,28.78,专用设备
中信出版,300788,40.05,-0.3,23.71,27,3.94,1.7571,3.73,19.83,文化传媒
宇瞳光学,300790,28.5,-3.29,36.02,47.24,4.46,1.3872,3.54,76.74,电子元件
仙乐健康,300791,78.71,1.17,35.68,36.7,4.21,0.36,4.26,36.79,食品饮料
壹网壹创,300792,58.1,-2.99,39.8,40.55,8.02,0.8859,9.62,33.33,文化传媒
钢研纳克,300797,14.18,-0.7,40.29,45.58,4.43,2.6456,5.67,44.92,专用设备
左江科技,300799,53.78,-1.14,50.03,58.63,7.55,8.9581,23.17,44.95,电子信息
力合科技,300800,18.89,-0.05,16.62,17.24,2.44,1.1356,5.6,20.64,仪器仪表
泰和科技,300801,18.23,-0.98,21.38,20.17,2.07,1.6749,2.47,20.27,化工行业
矩子科技,300802,35.53,-0.5,60.45,64.73,5.5,19.1699,11.63,193.46,专用设备
斯迪克,300806,40.76,-3.27,37.8,42.64,6.08,0.4872,4.66,35.34,材料行业
铂科新材,300811,39.68,0.46,34.88,38.62,4.66,1.2367,7.33,366.31,电子元件
泰林生物,300813,45.17,0.53,46.36,48.52,5.17,0.985,11.31,30.12,医药制造
玉禾田,300815,85.56,-0.64,18.61,18.77,4.37,0.1744,2.62,20.04,公用事业
艾可蓝,300816,77.75,2.95,46.18,49.6,7.75,1.9383,8.33,108.85,环保工程
双飞股份,300817,25.2,0.24,29.17,34.12,2.8,2.5566,3.46,-161.05,机械行业
贝仕达克,300822,25.35,-0.2,22.85,23.98,3.43,1.2909,4.1,122.55,电子元件
建科机械,300823,23.21,-1.57,23.41,24.19,2.3,3.1365,4.5,23.33,专用设备
北鼎股份,300824,23.07,0.04,46.71,49.98,7.28,0.8048,6.58,53.25,家电行业
锐新科技,300828,21.42,0.19,34.44,35.93,3.16,6.4903,5.77,37.96,金属制品
金丹科技,300829,54.4,-4.68,89.16,82.15,7.39,24.1053,8.6,79.5,食品饮料
新产业,300832,63.47,-0.67,49.9,52.95,9.86,2.2446,20.39,46.52,医疗行业
浙矿股份,300837,42.5,0.19,32.78,35.08,4.34,1.2226,8.57,30.85,专用设备
康华生物,300841,304.89,-0.39,61.85,67.25,13.21,0.5649,24.53,90.82,医药制造
帝科股份,300842,45.41,0.64,58.51,55.32,5.25,4.6956,2.25,-8.38,材料行业
胜蓝股份,300843,24.01,-0.99,30.7,35.74,4.06,1.0716,3.26,53.14,电子信息
中船汉光,300847,14.18,-0.63,45.34,46.31,3.83,2.4267,4.54,46.24,电子元件
美瑞新材,300848,33.08,2.57,38.47,43.23,5.48,1.519,4.82,20.67,化工行业
新强联,300850,78.98,-1.7,30.25,33.51,8.97,0.0662,5.74,-1950.65,机械行业
交大思诺,300851,32.7,-1.21,21.35,23.57,2.4,12.918,7.6,17.34,交运设备
四会富仕,300852,40.58,-1.5,32.66,34.34,4.52,0.8487,5.92,43.96,电子元件
申昊科技,300853,69.79,1.59,33.9,35.14,4.87,0.6529,8.66,-167.1,电力行业
图南股份,300855,37.69,-0.03,57.2,69.1,6.86,7.9984,12.69,60.99,金属制品
科思股份,300856,52.3,-0.1,35.92,36.12,3.88,5.9126,6.12,37.97,化工行业
协创数据,300857,25.03,-1.57,58.04,51.58,4.3,13.3626,2.02,47.44,电子信息
科拓生物,300858,74.9,-1.58,59.97,64,6.47,17.3435,17.14,70.83,食品饮料
锋尚文化,300860,63.2,0.85,32.2,33.22,2.78,13.2598,8.86,311.71,文化传媒
美畅股份,300861,71.67,-1.13,54.89,63.76,7.87,4.9064,22.69,88.2,材料行业
南大环境,300864,52.45,-2.73,36.16,36.26,4.38,1.7954,9.54,46.58,环保工程
安克创新,300866,150.63,-1.08,66.43,71.52,10.91,3.2922,5.98,2670.97,电子元件
圣元环保,300867,29.62,-1.59,21.63,26.5,2.82,0.5247,7.43,18.2,环保工程
康泰医学,300869,77.25,0.29,47.04,50.6,18.43,0.0576,20.81,60.65,医疗行业
欧陆通,300870,51.8,1.43,26.15,27.03,3.42,0.3108,2.29,28.53,电子元件
回盛生物,300871,46.96,5.06,41.34,51.84,5.4,0.3026,8.14,457.84,农药兽药
天阳科技,300872,38.37,-0.98,51.48,64.44,3.88,2.3513,5.77,-33.25,软件服务
海晨股份,300873,41.45,-0.65,25.05,28.38,3.03,0.4528,4.68,20.76,交运物流
捷强装备,300875,70.59,0.74,49.27,54.16,3.96,10.1733,19.84,578.1,专用设备
蒙泰高新,300876,31.17,-0.76,32.69,37.37,3.81,1.9758,7.71,60.28,化纤行业
金春股份,300877,39.68,3.41,15.93,17.24,2.85,0.0628,4.25,22.67,纺织服装
维康药业,300878,46.55,-0.17,26.68,27.57,2.67,3.3271,5.92,-5269.66,医药制造
迦南智能,300880,27.89,-0.89,44.87,47.13,5.64,8.0623,6.97,-1132.4,仪器仪表
万胜智能,300882,21.11,-1.36,39.2,38.01,4.04,2.5724,5.75,-39.63,仪器仪表
狄耐克,300884,27.92,-0.99,30.59,32.57,4.06,1.4981,6.13,54.27,仪器仪表
海昌新材,300885,46.72,-0.7,48.71,59.68,5.11,8.5828,14.66,75.36,金属制品
谱尼测试,300887,79.67,1.07,65.89,66.57,6.13,1.858,6.96,88.57,仪器仪表
稳健医疗,300888,133.21,-1.01,14.3,14.91,5.19,0.0207,4.27,13.08,专用设备
品渥食品,300892,55.45,3.96,39.19,40.82,5.02,1.115,3.59,29.28,食品饮料
松原股份,300893,22.68,-2.37,33.45,37.79,4.62,2.7592,5.58,128.4,汽车行业
火星人,300894,63.81,-0.13,78.71,93.91,18.6,4.881,14.06,54.85,家电行业
铜牛信息,300895,30.97,-2.3,64.2,64.9,3.2,13.0164,11.12,-374.6,软件服务
爱美客,300896,647.61,1.99,246.93,318.63,32.71,4.801,157.53,238.02,医疗行业
山科智能,300897,34.09,-1.64,32.18,33.2,2.71,4.8024,5.8,88.34,仪器仪表
熊猫乳品,300898,39.86,-1.68,51.67,60.64,6.31,1.8339,6.26,29.14,食品饮料
广联航空,300900,31.07,-0.54,64.11,64.97,4.3,1.5284,20.6,-165.48,航天航空
科翔股份,300903,29.73,-1.75,48.01,48.78,4.41,1.0714,2.9,42.17,电子元件
宝丽迪,300905,30.97,-1.99,38.11,42.72,3.48,10.1553,6.06,976.7,化工行业
康平科技,300907,28.81,-0.93,37.37,45.98,3.64,1.9994,2.63,89.28,机械行业
仲景食品,300908,69.6,-0.61,49.84,54.39,4.63,1.2482,9.04,71.05,食品饮料
汇创达,300909,41.37,-0.39,39.35,44.11,3.62,2.4191,6.04,90.16,电子元件
瑞丰新材,300910,115.74,0.64,80.75,94.94,8.13,0.8353,18.41,83.27,化工行业
亿田智能,300911,66.3,2.3,42.21,49.19,6.7,0.8789,8.65,29.24,家电行业
凯龙高科,300912,37.97,1.58,41.2,42.71,3.46,0.5005,3.43,81.52,环保工程
海融科技,300915,52.37,-4.7,47.43,54.28,3.52,3.5052,7.61,37.93,食品饮料
朗特智能,300916,93.12,0.27,37.03,44.42,4.58,0.4678,4.5,24.65,电子元件
特发服务,300917,38.75,-1.1,35.08,39.02,4.78,0.6143,3.07,32.91,房地产
中伟股份,300919,147.99,0.2,148.15,200.64,20.79,0.8874,8.82,606.67,材料行业
润阳科技,300920,37.19,-0.72,29.22,29.29,3.23,2.9728,8,87.68,塑胶制品
南凌科技,300921,24.58,-1.44,45.06,42.55,3.94,7.9464,6.39,30.46,通讯行业
天秦装备,300922,35.02,-0.26,54.1,60.91,4.61,2.3267,16.21,90.68,塑胶制品
法本信息,300925,38.32,-2.91,40.55,40.82,4.35,1.3832,2.22,125.95,软件服务
金龙鱼,300999,96.16,-0.21,82.04,86.88,6.13,8.7403,2.53,-101.31,食品饮料
东风汽车,600006,7.62,-1.42,17.84,27.53,1.88,0.7709,0.97,38.64,汽车行业
首创股份,600008,3.11,0,13.83,15.53,1.41,0.2325,1.11,5.64,公用事业
包钢股份,600010,1.63,-2.4,50.75,183.03,1.39,1.1274,1.17,11.42,钢铁行业
华能国际,600011,4.14,-0.48,11.54,14.24,0.86,0.0804,0.36,1.44,电力行业
日照港,600017,2.72,-0.73,12.66,13.08,0.66,10.5327,1.42,5.21,港口水运
宝钢股份,600019,7.9,0.77,10.67,13.88,0.93,4.6429,0.57,4.74,钢铁行业
山东钢铁,600022,1.74,-1.69,14.53,26.36,0.88,0.5494,0.2,1.84,钢铁行业
浙能电力,600023,3.64,-0.27,7.52,8.13,0.71,0.1738,0.86,5.48,电力行业
中远海能,600026,6.07,-0.65,13.86,12.19,0.82,0.0412,1.88,3.96,港口水运
华电国际,600027,3.4,-0.29,8.01,8.02,0.69,0.3823,0.34,1.47,电力行业
中信证券,600030,25.54,1.43,20.65,22.15,1.78,0.9103,5.7,6.16,券商信托
三一重工,600031,30.35,-1.62,13.76,16.69,4.15,0.3408,2.22,17.49,机械行业
招商银行,600036,57.53,2.22,14.29,14.91,2.16,2.8089,4.86,4.81,银行
中直股份,600038,53.22,-0.37,36.07,41.41,3.47,1.1139,1.5,-32.04,航天航空
四川路桥,600039,6.95,-1.14,8.42,10.97,1.39,0.0923,0.48,12.82,工程建设
保利地产,600048,13.42,0.22,5.53,5.55,0.99,1.528,0.66,10.57,房地产
中国联通,600050,4.31,-0.69,22.97,24.21,0.9,2.0952,0.43,1.23,电信运营
宁波联合,600051,7.24,-0.55,25.67,6.55,0.76,6.1186,0.56,-16.19,综合行业
浙江广厦,600052,3.25,0,132.21,-,0.81,0.9217,14.56,-11.41,房地产
万东医疗,600055,15.32,2.27,37.84,37.55,3.55,1.2629,7.39,22.65,医疗行业
中国医药,600056,12.88,-0.15,10.93,10.5,1.35,0.3107,0.34,6.13,医药制造
厦门象屿,600057,6.21,1.14,9.64,10.31,1.19,0.5134,0.04,4.07,交运物流
五矿发展,600058,8.43,-0.47,22.1,33.63,2.08,0.4238,0.12,-8.63,国际贸易
海信视像,600060,12.5,0,12.14,13.68,1.04,0.0766,0.38,-10.98,家电行业
国投资本,600061,13.55,0.74,12.48,13.81,1.32,0.3072,3.9,-10.1,券商信托
皖维高新,600063,4.6,3.37,12.82,14.49,1.56,0.1597,1.17,9.08,化纤行业
南京高科,600064,10.12,-0.59,6.32,6.21,0.91,0.728,3.02,-4.6,房地产
凤凰光学,600071,15.89,4.2,183.79,312.47,8.71,0.4376,3.16,138.23,仪器仪表
中船科技,600072,11.54,0.35,60.18,59.22,2.16,9.2609,3.93,6.82,船舶制造
上海梅林,600073,8.78,-0.79,19.15,20.35,1.89,1.8785,0.34,4.3,食品饮料
新疆天业,600075,7.26,-2.16,7.78,11.63,1.41,0.0001,1.03,7.81,化工行业
人福医药,600079,27.06,0.15,33.66,38.48,3.66,0.5727,2.16,22.81,医药制造
金花股份,600080,6.98,1.16,56.23,69.04,1.51,0.6656,3.9,112.52,医药制造
*ST博信,600083,5.4,-0.18,78.02,114.29,115.59,1.1442,3.03,28.55,通讯行业
同仁堂,600085,39.1,-1.68,48.27,51.99,5.28,8.5245,3.97,19.25,医药制造
特变电工,600089,11.52,0.35,10.2,17.21,1.23,0.337,0.94,7.06,输配电气
湘财股份,600095,12,-1.88,88.3,90.32,3,0.0022,10.33,-92.9,券商信托
云天化,600096,10.68,1.14,23.48,72.14,2.79,0.1346,0.36,4.09,化肥行业
广州发展,600098,5.96,-1.49,16.46,17.98,0.89,1.4323,0.47,7.43,电力行业
林海股份,600099,6.37,-0.93,126.39,180.74,2.88,3.2082,2.1,45.25,交运设备
同方股份,600100,6.03,0.5,28.77,174.35,1.12,2.4917,0.65,-98.96,电子信息
国金证券,600109,13.13,0.84,21.31,21.32,1.74,0.5232,6.42,-16.08,券商信托
诺德股份,600110,9.31,8,162.45,2415.53,3.74,58.4191,4.83,43.52,材料行业
北方稀土,600111,22.5,-0.84,55.88,98.18,7.2,1.2677,3.54,111.26,有色金属
三峡水利,600116,8.49,-0.12,21.48,26.19,1.56,0.0629,2.29,18.2,电力行业
中国卫星,600118,29.89,0.54,97.54,99.97,5.93,15.996,4.87,-114.17,航天航空
浙江东方,600120,5.84,1.04,13.62,14.41,0.95,1.0006,0.71,-28.79,多元金融
杭钢股份,600126,5.27,-1.68,13.19,15.71,0.89,0.4241,0.48,12.66,钢铁行业
太极集团,600129,17.86,-0.17,81.65,150.54,3.05,1.141,0.84,15.13,医药制造
波导股份,600130,3.48,-0.29,65.04,77.91,2.84,3.968,2.99,-23.18,通讯行业
国网信通,600131,13.6,0.15,26.71,26.79,3.47,0.8171,2.27,379.27,电子信息
重庆啤酒,600132,171.25,0.6,67.24,76.97,94.12,0.5118,6.83,17.15,酿酒行业
东湖高新,600133,6.04,-0.33,6.25,7.02,0.89,0.0107,0.41,2.32,工程建设
浪莎股份,600137,17.35,-9.26,89.48,94.99,3.26,5.5138,4.63,36.46,纺织服装
兴发集团,600141,18.33,0.71,21.49,32.87,2.09,0.1178,1.09,7.53,化工行业
金发科技,600143,21.78,0.18,10.76,12.22,3.59,0.0357,1.45,10.53,塑胶制品
长春一东,600148,12.83,-0.31,29.03,31.73,3.66,0.1358,1.41,40.13,汽车行业
廊坊发展,600149,5.87,2.8,240.35,206.44,13.29,0.669,11.64,512.44,国际贸易
中国船舶,600150,16.78,0.78,185.96,245.41,1.63,16.2023,1.37,12.08,船舶制造
航天机电,600151,9.7,-0.61,56.98,81.12,2.58,1.9628,2.3,59.99,电子元件
华创阳安,600155,10.88,0.55,28.48,28.75,1.27,0.111,6.23,-544.03,券商信托
永泰能源,600157,1.62,-2.41,7.72,8.03,0.86,0.0001,1.57,7.16,电力行业
大龙地产,600159,2.61,-1.14,13.61,20.62,0.89,4.3623,1.85,3.42,房地产
天坛生物,600161,32.58,-0.49,67.9,70.01,9.58,14.9133,12.66,78.39,医药制造
中闽能源,600163,4.68,0.21,13.64,16.27,2.13,0.0322,5.6,8.66,电力行业
新日恒力,600165,7.09,0,219.25,232.27,5.06,1.584,35.57,-173.55,金属制品
联美控股,600167,9.44,0.21,14.5,12.82,2.32,2.6724,6.11,18.52,电力行业
武汉控股,600168,6.96,-0.29,16.4,19.33,0.9,7.9732,2.78,4.09,公用事业
太原重工,600169,2.49,1.63,46.52,246.11,1.82,15.0788,0.99,-116.15,机械行业
上海贝岭,600171,20.15,9.99,23,27.2,4.18,0.0725,9.41,222.38,电子元件
中国巨石,600176,16.25,0.43,20.52,26.92,3.51,1.1706,4.92,24.05,玻璃陶瓷
雅戈尔,600177,7.53,-0.4,5.13,4.82,1.15,0.056,3.68,22.38,纺织服装
东安动力,600178,8.6,4.88,33.19,101.2,1.63,0.2424,0.94,-14.05,汽车行业
安通控股,600179,4.21,0.24,12.6,14.21,3.03,0.2999,3.46,-49.57,交运物流
生益科技,600183,22.3,-0.09,27.1,30.41,4.48,1.7231,3.17,26.39,电子元件
格力地产,600185,7.86,-1.01,22.16,28.99,1.87,3.9994,2.18,4.64,房地产
莲花健康,600186,2.7,-1.82,51.12,50.15,9.4,2.645,2.1,-96.4,食品饮料
国中水务,600187,2.4,0.42,1326.48,129.96,1.16,23.478,9.69,-217.2,公用事业
泉阳泉,600189,14,0.29,80.84,120.72,6.8,13.6916,6.83,67.56,食品饮料
锦州港,600190,2.87,-0.35,30.11,30.73,0.88,2.4191,0.81,9.43,港口水运
ST创兴,600193,8.28,0.24,53.71,60.79,11.78,0.0964,2.92,86.95,装修装饰
中牧股份,600195,11.85,2.51,26.61,28.63,2.59,0.4608,2.31,35.25,农药兽药
复星医药,600196,64.49,-0.78,42.03,45.12,4.38,4.1741,5.09,56.33,医药制造
金种子酒,600199,19,9.7,266.09,180.07,4.39,6.8093,10.97,-60.38,酿酒行业
生物股份,600201,19.5,-1.17,47.03,54.07,4.22,0.3709,12.66,32.45,农药兽药
福日电子,600203,8.38,-0.48,132.12,384.54,1.85,8.3762,0.26,10.69,通讯行业
有研新材,600206,13.17,0.92,49.56,65.47,3.35,0.8636,0.77,-33.71,材料行业
安彩高科,600207,6.77,1.5,24.16,52.59,3.15,0.0257,2.21,38.85,玻璃陶瓷
新湖中宝,600208,3.18,0,7.73,8.64,0.71,0.1264,1.9,3.24,房地产
紫江企业,600210,5.12,-0.58,12.01,13.74,1.43,0.7814,0.88,6.69,包装材料
西藏药业,600211,64.28,-1.15,35.67,38.12,5.81,1.002,10.15,31.24,医药制造
江泉实业,600212,4.36,10.1,152.15,114.17,8.76,8.4922,8.81,124.47,电力行业
长春经开,600215,6.86,-0.58,28.2,38.3,1.27,3.9337,14.65,30.04,房地产
浙江医药,600216,15.98,-0.44,18.45,21.5,1.94,0.1419,1.9,13.74,医药制造
中再资环,600217,5.29,-0.56,15.34,17.9,3.19,7.074,2,30.22,环保工程
全柴动力,600218,9.09,0.55,16.28,19.44,1.49,0.1794,0.68,32.1,机械行业
南山铝业,600219,3.83,-2.05,19.97,22.33,1.12,0.6571,1.98,7.45,有色金属
江苏阳光,600220,2.25,-0.88,481.75,252.12,2.02,9.6056,2.03,55.09,纺织服装
鲁商发展,600223,16.8,0.72,25.61,26.55,5.22,0.2687,1.22,2.97,房地产
沧州大化,600230,12.26,-2,30.72,136.71,1.38,7.4707,2.48,11.19,化工行业
凌钢股份,600231,2.87,-3.04,10.24,14.53,0.94,0.2569,0.37,9.21,钢铁行业
金鹰股份,600232,5.1,2.41,50.33,58.47,1.74,2.9145,1.78,28.07,纺织服装
圆通速递,600233,10.48,-1.13,17.74,18.74,1.89,2.8363,0.86,8.63,交运物流
山水文化,600234,11.45,2.14,39.68,41.17,17.24,0.1127,1.97,355,房地产
民丰特纸,600235,5.56,-1.42,34.7,40.23,1.44,0.1315,1.38,21.71,造纸印刷
桂冠电力,600236,5.26,-2.41,17.97,18.88,2.65,3.7991,4.51,6.83,电力行业
铜峰电子,600237,5.47,-2.32,102.27,390.32,2.75,15.594,3.41,37.59,电子元件
海南椰岛,600238,22.95,5.42,192.05,423.15,18.41,12.4932,11.64,109.59,酿酒行业
ST中昌,600242,2.46,0.41,43.19,118.59,2.18,72.2933,1.13,17.25,软件服务
青海华鼎,600243,4.17,1.96,35.29,63.2,1.61,3.767,2.78,-12.12,机械行业
陕西建工,600248,4.67,-1.06,4.98,6.19,1.36,0.0002,0.12,-21.11,工程建设
冠农股份,600251,7.4,-0.67,19.83,23.5,2.31,0.4393,1.38,-12.71,农牧饲渔
鑫科材料,600255,2.13,-1.39,30.5,62.65,3.1,4.7336,1.55,-21.65,有色金属
大湖股份,600257,8.67,10.03,1447.03,1000.19,3.61,439.487,4.07,167.06,农牧饲渔
广晟有色,600259,36.39,-1.62,127.29,216.23,6.24,0.644,0.97,-107.37,有色金属
阳光照明,600261,4.23,-0.24,10.55,12.68,1.5,184.7233,1.26,17.82,电子元件
北方股份,600262,15,0.2,38.47,39.02,2.05,8.3941,1.93,20.3,机械行业
国电南自,600268,6.42,-2.28,44.26,66.15,1.88,2.1024,0.83,5.21,输配电气
嘉化能源,600273,8.69,-0.8,8.89,9.55,1.54,1.2386,2.06,10.95,化工行业
恒瑞医药,600276,82.65,0.08,67.69,69.63,13.69,3.3337,15.12,211.07,医药制造
东方创业,600278,8.3,-4.27,23.49,26.9,1.07,0.0696,0.17,-12.33,国际贸易
中央商场,600280,3.8,-1.3,25.73,53.16,4.49,1.5179,1.17,12.99,商业百货
南钢股份,600282,3.65,-0.82,6.68,7.89,0.91,0.5709,0.38,7.51,钢铁行业
钱江水利,600283,11.21,-0.71,23.94,28.55,1.96,0.0896,2.93,8.08,公用事业
浦东建设,600284,7.1,-2.74,14.32,15.49,1.05,1.4939,0.76,10.61,工程建设
羚锐制药,600285,10.31,0.1,16.94,17.99,2.42,1.4914,2.41,10.91,医药制造
ST华仪,600290,2.28,-0.44,25.02,50.85,1.55,21.8841,2.06,-15.17,输配电气
鄂尔多斯,600295,21.64,-0.82,14.69,20.22,2.15,0.9093,1.21,4.23,钢铁行业
安琪酵母,600298,59.8,-3.67,32.98,36.31,7.87,0.5758,5.22,43.38,食品饮料
安迪苏,600299,12.54,2.03,23.61,24.88,2.42,0.6171,2.79,13.08,农牧饲渔
ST维维,600300,3.69,0.55,15.13,14.16,2.03,0.0207,1.28,9.06,食品饮料
*ST南化,600301,6.6,0.15,221.89,171.04,4.67,3.6518,1.89,-17.75,化工行业
标准股份,600302,4.25,0.24,10.78,10.4,1.23,0.0373,0.96,-4.9,专用设备
曙光股份,600303,3.82,-0.52,85.67,47.02,0.89,9.3121,0.91,-14.02,汽车行业
华泰股份,600308,6.1,-0.49,8.2,10.23,0.79,3.4117,0.52,2.84,造纸印刷
桂东电力,600310,4.51,-1.31,32.7,18.23,2.32,0.1659,0.24,2.69,电力行业
农发种业,600313,4.6,0.66,131.84,183.73,3.39,2.3689,1.16,41.91,农牧饲渔
洪都航空,600316,37.91,1.5,152.45,205,5.28,3.3581,5.02,121.26,航天航空
瀚蓝环境,600323,22.67,-2.41,15.88,17.48,2.32,0.894,2.27,7.75,公用事业
华发股份,600325,6.66,-1.62,4.94,4.86,0.92,1.1352,0.29,0.46,房地产
西藏天路,600326,7.02,-0.71,14.42,14.76,1.53,14.0945,0.88,12.89,水泥建材
大东方,600327,8.05,-6.4,18.87,22.61,2.01,0.1832,0.82,236.23,汽车行业
中新药业,600329,25.9,1.69,28.43,30.28,3.33,4.8892,2.96,31,医药制造
天通股份,600330,9.11,2.02,23.46,23.82,1.96,0.1593,2.6,86.33,电子元件
长春燃气,600333,4.97,-3.31,62.6,184.24,1.44,0.2224,1.74,25.98,公用事业
澳柯玛,600336,6.17,0.16,15.65,15.88,2.13,0.1786,0.65,1077.82,家电行业
中油工程,600339,2.83,-0.7,11.26,18.48,0.64,2.1033,0.21,9.54,工程建设
航天动力,600343,9.65,-0.72,179.2,223.04,2.88,4.9827,4.9,-117.97,机械行业
恒力石化,600346,27.95,0.54,12.75,14.61,3.85,0.362,1.12,8.52,化纤行业
敦煌种业,600354,5.98,7.36,58.79,106.84,5.04,2.8814,3.23,25.48,农牧饲渔
恒丰纸业,600356,7.86,0.26,15.27,17.82,1.03,0.2752,1.21,5.12,造纸印刷
新农开发,600359,7.94,2.19,59.85,79.21,5.86,0.1711,4.73,33.64,农牧饲渔
华联综超,600361,3.68,-1.34,33.79,23.76,1.05,2.0332,0.26,-14.39,商业百货
联创光电,600363,25.83,10.01,37.84,43.55,3.99,0.9221,2.87,36.93,电子元件
宁波韵升,600366,6.65,-0.45,24.4,37,1.48,0.0768,2.45,-48.71,有色金属
西南证券,600369,5.25,10.06,30.73,31.96,1.38,6.6557,10.41,-4.64,券商信托
中航电子,600372,15.5,1.17,42.98,47.38,2.78,3.5707,3.15,29.27,航天航空
中文传媒,600373,10.63,1.72,7.9,7.98,0.93,1.619,1.38,5.93,文化传媒
首开股份,600376,5.72,-0.17,5.51,4.7,0.56,0.2228,0.29,1.2,房地产
昊华科技,600378,21.06,1.06,27.38,29.88,2.93,1.1518,3.31,38.83,化工行业
宝光股份,600379,8.16,0.37,54.75,58.36,4.68,10.2644,2.87,19,输配电气
健康元,600380,14.36,2.35,23.29,25.1,2.48,0.8578,1.94,9.26,医药制造
金地集团,600383,10.75,0,5.02,4.67,0.84,1.4539,0.58,4.43,房地产
江山股份,600389,34.69,0.96,29.1,30.76,4.91,2.3018,1.9,13.23,农药兽药
五矿资本,600390,6.26,0.32,6.88,7.5,0.72,0.1619,1.74,-2.82,多元金融
抚顺特钢,600399,14.27,-1.79,43.68,51.02,5.41,0.5103,4.24,114.67,钢铁行业
国电南瑞,600406,31,5.01,28.79,29.53,4.16,2.4048,3.62,32.52,输配电气
三友化工,600409,10.62,-2.66,14.39,30.57,1.79,0.7524,1.13,9.38,化工行业
湘电股份,600416,14.81,0.07,96.31,227.27,4.48,7.2162,3.41,41.94,机械行业
江淮汽车,600418,9.6,-1.54,26.43,127.45,1.37,0.5691,0.39,19.54,汽车行业
天润乳业,600419,13.76,-1.15,22.94,25.07,2.31,3.9317,1.96,14.04,食品饮料
